benchmark,reward,walltime,commandline
benchmark://cBench-v0/adpcm,1.0041322314049586,4.403480052947998,opt -mem2reg -simplifycfg -early-cse-memssa -gvn-hoist -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,1.0041322314049586,4.396511793136597,opt -mem2reg -simplifycfg -early-cse-memssa -gvn-hoist -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,1.0041322314049586,4.464489459991455,opt -sroa -simplifycfg -early-cse-memssa -gvn-hoist -instcombine -gvn -instcombine -jump-threading input.bc -o output.bc
benchmark://cBench-v0/adpcm,1.0041322314049586,4.354282379150391,opt -mem2reg -simplifycfg -early-cse-memssa -gvn-hoist -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,3.9519543647766113,opt -mem2reg -simplifycfg -early-cse-memssa -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,1.0041322314049586,4.288180112838745,opt -mem2reg -simplifycfg -early-cse-memssa -gvn-hoist -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,1.0041322314049586,4.136087417602539,opt -mem2reg -simplifycfg -early-cse-memssa -gvn-hoist -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,1.0041322314049586,4.184573411941528,opt -mem2reg -simplifycfg -early-cse-memssa -gvn-hoist -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,3.9814958572387695,opt -sroa -simplifycfg -early-cse-memssa -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/adpcm,0.9999999999999998,3.9369218349456787,opt -mem2reg -simplifycfg -early-cse-memssa -instcombine -gvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,3.81317138671875,opt -mem2reg -instcombine -simplifycfg -early-cse-memssa -sroa -instcombine -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,4.103651523590088,opt -mem2reg -instcombine -simplifycfg -early-cse-memssa -sroa -instcombine -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,4.295536041259766,opt -mem2reg -instcombine -simplifycfg -early-cse-memssa -sroa -instcombine -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,4.269628524780273,opt -mem2reg -instcombine -simplifycfg -early-cse-memssa -sroa -instcombine -tailcallelim input.bc -o output.bc
benchmark://cBench-v0/bitcount,1.0140845070422535,4.031359910964966,opt -mem2reg -instcombine -simplifycfg -early-cse-memssa -sroa -instcombine -tailcallelim input.bc -o output.bc
