name,flag,description,source,header,cfg,is_analysis
AAEvalLegacyPass,-aa-eval,Exhaustive Alias Analysis Precision Evaluator,lib/Analysis/AliasAnalysisEvaluator.cpp,include/llvm/Analysis/AliasAnalysisEvaluator.h,False,True
AAResultsWrapperPass,-aa,Function Alias Analysis Results,lib/Analysis/AliasAnalysis.cpp,include/llvm/Analysis/AliasAnalysis.h,False,True
AArch64A53Fix835769,-aarch64-fix-cortex-a53-835769-pass,AArch64 fix for A53 erratum 835769,lib/Target/AArch64/AArch64A53Fix835769.cpp,,False,False
AArch64A57FPLoadBalancing,-aarch64-a57-fp-load-balancing,AArch64 A57 FP Load-Balancing,lib/Target/AArch64/AArch64A57FPLoadBalancing.cpp,,False,False
AArch64AdvSIMDScalar,-aarch64-simd-scalar,AdvSIMD Scalar Operation Optimization,lib/Target/AArch64/AArch64AdvSIMDScalarPass.cpp,,False,False
AArch64BranchTargets,-aarch64-branch-targets,AArch64 Branch Targets,lib/Target/AArch64/AArch64BranchTargets.cpp,,False,False
AArch64CollectLOH,-aarch64-collect-loh,AArch64 Collect Linker Optimization Hint (LOH),lib/Target/AArch64/AArch64CollectLOH.cpp,,False,False
AArch64CompressJumpTables,-aarch64-jump-tables,AArch64 compress jump tables pass,lib/Target/AArch64/AArch64CompressJumpTables.cpp,,False,False
AArch64CondBrTuning,-aarch64-cond-br-tuning,AArch64 Conditional Branch Tuning,lib/Target/AArch64/AArch64CondBrTuning.cpp,,False,False
AArch64ConditionOptimizer,-aarch64-condopt,AArch64 CondOpt Pass,lib/Target/AArch64/AArch64ConditionOptimizer.cpp,,False,False
AArch64ConditionalCompares,-aarch64-ccmp,AArch64 CCMP Pass,lib/Target/AArch64/AArch64ConditionalCompares.cpp,,False,False
AArch64DeadRegisterDefinitions,-aarch64-dead-defs,AArch64 Dead register definitions,lib/Target/AArch64/AArch64DeadRegisterDefinitionsPass.cpp,,False,False
AArch64ExpandPseudo,-aarch64-expand-pseudo,AArch64 pseudo instruction expansion pass,lib/Target/AArch64/AArch64ExpandPseudoInsts.cpp,,False,False
AArch64LoadStoreOpt,-aarch64-ldst-opt,AArch64 load / store optimization pass,lib/Target/AArch64/AArch64LoadStoreOptimizer.cpp,,False,False
AArch64PreLegalizerCombiner,-aarch64-prelegalizer-combiner,Combine AArch64 machine instrs before legalization,lib/Target/AArch64/AArch64PreLegalizerCombiner.cpp,,False,False
AArch64PromoteConstant,-aarch64-promote-const,AArch64 Promote Constant Pass,lib/Target/AArch64/AArch64PromoteConstant.cpp,,False,False
AArch64RedundantCopyElimination,-aarch64-copyelim,AArch64 redundant copy elimination pass,lib/Target/AArch64/AArch64RedundantCopyElimination.cpp,,False,False
AArch64SIMDInstrOpt,-aarch64-simdinstr-opt,AArch64 SIMD instructions optimization pass,lib/Target/AArch64/AArch64SIMDInstrOpt.cpp,,False,False
AArch64SpeculationHardening,-aarch64-speculation-hardening,AArch64 speculation hardening pass,lib/Target/AArch64/AArch64SpeculationHardening.cpp,,False,False
AArch64StackTagging,-stack-tagging,AArch64 Stack Tagging,lib/Target/AArch64/AArch64StackTagging.cpp,,False,False
AArch64StackTaggingPreRA,-aarch64-stack-tagging-pre-ra,AArch64 Stack Tagging PreRA Pass,lib/Target/AArch64/AArch64StackTaggingPreRA.cpp,,False,False
AArch64StorePairSuppress,-aarch64-stp-suppress,AArch64 Store Pair Suppression,lib/Target/AArch64/AArch64StorePairSuppress.cpp,,False,False
AMDGPUAAWrapperPass,-amdgpu-aa,AMDGPU Address space based Alias Analysis,lib/Target/AMDGPU/AMDGPUAliasAnalysis.cpp,,False,True
AMDGPUAlwaysInline,-amdgpu-always-inline,AMDGPU Inline All Functions,lib/Target/AMDGPU/AMDGPUAlwaysInlinePass.cpp,,False,False
AMDGPUAnnotateKernelFeatures,-amdgpu-annotate-kernel-features,Add AMDGPU function attributes,lib/Target/AMDGPU/AMDGPUAnnotateKernelFeatures.cpp,,False,False
AMDGPUAnnotateUniformValues,-amdgpu-annotate-uniform,Add AMDGPU uniform metadata,lib/Target/AMDGPU/AMDGPUAnnotateUniformValues.cpp,,False,False
AMDGPUArgumentUsageInfo,-amdgpu-argument-reg-usage-info,Argument Register Usage Information Storage,lib/Target/AMDGPU/AMDGPUArgumentUsageInfo.cpp,,False,True
AMDGPUAtomicOptimizer,-amdgpu-atomic-optimizer,AMDGPU atomic optimizations,lib/Target/AMDGPU/AMDGPUAtomicOptimizer.cpp,,False,False
AMDGPUCFGStructurizer,-amdgpustructurizer,AMDGPU CFG Structurizer,lib/Target/AMDGPU/AMDILCFGStructurizer.cpp,,False,False
AMDGPUCodeGenPrepare,-amdgpu-codegenprepare,AMDGPU IR optimizations,lib/Target/AMDGPU/AMDGPUCodeGenPrepare.cpp,,False,False
AMDGPUDAGToDAGISel,-amdgpu-isel,AMDGPU DAG->DAG Pattern Instruction Selection,lib/Target/AMDGPU/AMDGPUISelDAGToDAG.cpp,,False,False
AMDGPUExternalAAWrapper,-amdgpu-aa-wrapper,AMDGPU Address space based Alias Analysis Wrapper,lib/Target/AMDGPU/AMDGPUAliasAnalysis.cpp,,False,True
AMDGPUFixFunctionBitcasts,-amdgpu-fix-function-bitcasts,Fix function bitcasts for AMDGPU,lib/Target/AMDGPU/AMDGPUFixFunctionBitcasts.cpp,,False,False
AMDGPUInliner,-amdgpu-inline,AMDGPU Function Integration/Inlining,lib/Target/AMDGPU/AMDGPUInline.cpp,,False,False
AMDGPULowerIntrinsics,-amdgpu-lower-intrinsics,Lower intrinsics,lib/Target/AMDGPU/AMDGPULowerIntrinsics.cpp,,False,False
AMDGPULowerKernelArguments,-amdgpu-lower-kernel-arguments,AMDGPU Lower Kernel Arguments,lib/Target/AMDGPU/AMDGPULowerKernelArguments.cpp,,False,False
AMDGPULowerKernelAttributes,-amdgpu-lower-kernel-attributes,AMDGPU IR optimizations,lib/Target/AMDGPU/AMDGPULowerKernelAttributes.cpp,,False,False
AMDGPUMachineCFGStructurizer,-amdgpu-machine-cfg-structurizer,AMDGPU Machine CFG Structurizer,lib/Target/AMDGPU/AMDGPUMachineCFGStructurizer.cpp,,False,False
AMDGPUOpenCLEnqueuedBlockLowering,-amdgpu-lower-enqueued-block,Lower OpenCL enqueued blocks,lib/Target/AMDGPU/AMDGPUOpenCLEnqueuedBlockLowering.cpp,,False,False
AMDGPUPerfHintAnalysis,-amdgpu-perf-hint,Analysis if a function is memory bound,lib/Target/AMDGPU/AMDGPUPerfHintAnalysis.cpp,,True,True
AMDGPUPrintfRuntimeBinding,-amdgpu-printf-runtime-binding,AMDGPU Printf lowering,lib/Target/AMDGPU/AMDGPUPrintfRuntimeBinding.cpp,,False,False
AMDGPUPromoteAlloca,-amdgpu-promote-alloca,AMDGPU promote alloca to vector or LDS,lib/Target/AMDGPU/AMDGPUPromoteAlloca.cpp,,False,False
AMDGPUPropagateAttributesEarly,-amdgpu-propagate-attributes-early,Early propagate attributes from kernels to functions,lib/Target/AMDGPU/AMDGPUPropagateAttributes.cpp,,False,False
AMDGPUPropagateAttributesLate,-amdgpu-propagate-attributes-late,Late propagate attributes from kernels to functions,lib/Target/AMDGPU/AMDGPUPropagateAttributes.cpp,,False,False
AMDGPURewriteOutArguments,-amdgpu-rewrite-out-arguments,AMDGPU Rewrite Out Arguments,lib/Target/AMDGPU/AMDGPURewriteOutArguments.cpp,,False,False
AMDGPUSimplifyLibCalls,-amdgpu-simplifylib,Simplify well-known AMD library calls,lib/Target/AMDGPU/AMDGPULibCalls.cpp,,False,False
AMDGPUUnifyDivergentExitNodes,-amdgpu-unify-divergent-exit-nodes,Unify divergent function exit nodes,lib/Target/AMDGPU/AMDGPUUnifyDivergentExitNodes.cpp,,False,False
AMDGPUUnifyMetadata,-amdgpu-unify-metadata,Unify multiple OpenCL metadata due to linking,lib/Target/AMDGPU/AMDGPUUnifyMetadata.cpp,,False,False
AMDGPUUseNativeCalls,-amdgpu-usenative,Replace builtin math calls with that native versions.,lib/Target/AMDGPU/AMDGPULibCalls.cpp,,False,False
ARCBranchFinalize,-arc-branch-finalize,ARC finalize branches,lib/Target/ARC/ARCBranchFinalize.cpp,,False,False
ARCOptAddrMode,-arc-addr-mode,ARC load/store address mode,lib/Target/ARC/ARCOptAddrMode.cpp,,False,False
ARMConstantIslands,-arm-cp-islands,ARM constant island placement and branch shortening pass,lib/Target/ARM/ARMConstantIslandPass.cpp,,False,False
ARMExecutionDomainFix,-arm-execution-domain-fix,ARM Execution Domain Fix,lib/Target/ARM/ARMTargetMachine.cpp,,False,False
ARMExpandPseudo,-arm-pseudo,ARM pseudo instruction expansion pass,lib/Target/ARM/ARMExpandPseudoInsts.cpp,,False,False
ARMLoadStoreOpt,-arm-ldst-opt,ARM load / store optimization pass,lib/Target/ARM/ARMLoadStoreOptimizer.cpp,,False,False
ARMLowOverheadLoops,-arm-low-overhead-loops,ARM Low Overhead Loops pass,lib/Target/ARM/ARMLowOverheadLoops.cpp,,False,False
ARMParallelDSP,-arm-parallel-dsp,Transform functions to use DSP intrinsics,lib/Target/ARM/ARMParallelDSP.cpp,,False,False
ARMPreAllocLoadStoreOpt,-arm-prera-ldst-opt,ARM pre- register allocation load / store optimization pass,lib/Target/ARM/ARMLoadStoreOptimizer.cpp,,False,False
