benchmark,reward,walltime,commandline
benchmark://cBench-v1/adpcm,0.9162011173184358,20.7006676197052,opt -early-cse-memssa -gvn -newgvn -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.9581005586592178,17.297852993011475,opt -sroa -newgvn -early-cse-memssa -gvn -simplifycfg input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.9581005586592178,18.335320711135864,opt -sroa -newgvn -jump-threading -simplifycfg -instcombine input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.958100558659218,18.65507435798645,opt -newgvn -simplifycfg -gvn-hoist -sroa -simplifycfg input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.963687150837989,15.923527479171753,opt -sroa -jump-threading -mem2reg -newgvn -simplifycfg input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.9664804469273743,15.886942863464355,opt -sroa -loop-reduce -simplifycfg -instsimplify -gvn input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.9692737430167598,16.275184392929077,opt -newgvn -simplifycfg -mem2reg -simplifycfg -jump-threading input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.9720670391061452,17.349804639816284,opt -gvn -instcombine -simplifycfg -instcombine -sroa input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.9720670391061453,15.02190613746643,opt -sroa -early-cse-memssa -mem2reg -simplifycfg -jump-threading input.bc -o output.bc
benchmark://cBench-v1/adpcm,0.9720670391061453,15.394291400909424,opt -mem2reg -simplifycfg -mem2reg -early-cse-memssa -jump-threading input.bc -o output.bc
benchmark://cBench-v1/bitcount,0.9048672566371682,21.443850994110107,opt -instcombine -break-crit-edges -early-cse-memssa -sroa -instcombine input.bc -o output.bc
benchmark://cBench-v1/bitcount,0.9115044247787609,21.218472719192505,opt -break-crit-edges -newgvn -instcombine -jump-threading -mem2reg input.bc -o output.bc
benchmark://cBench-v1/bitcount,0.920353982300885,23.495495319366455,opt -reg2mem -newgvn -mem2reg -sroa -instcombine input.bc -o output.bc
benchmark://cBench-v1/bitcount,0.9491150442477876,24.241315841674805,opt -newgvn -sroa -newgvn -sroa -instcombine input.bc -o output.bc
benchmark://cBench-v1/bitcount,0.9756637168141594,20.606653451919556,opt -loop-reduce -simplifycfg -gvn -instcombine -sroa input.bc -o output.bc
benchmark://cBench-v1/bitcount,0.9933628318584069,21.50115156173706,opt -gvn -sroa -instcombine -loop-versioning -simplifycfg input.bc -o output.bc
benchmark://cBench-v1/bitcount,0.993362831858407,21.865561723709106,opt -instsimplify -gvn -mem2reg -instcombine -simplifycfg input.bc -o output.bc
benchmark://cBench-v1/bitcount,1.0,21.536291122436523,opt -sroa -simplifycfg -early-cse-memssa -instcombine -simplifycfg input.bc -o output.bc
