benchmark,reward,walltime,commandline
benchmark://cbench-v1/adpcm,0.9748603351955308,2.6167967319488525,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,2.6323108673095703,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,2.632906675338745,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,2.6446733474731445,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,2.65216326713562,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,2.656970739364624,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,2.661275625228882,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,2.6938230991363525,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,3.050021171569824,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9748603351955308,3.102595806121826,opt -sroa -simplifycfg -early-cse-memssa -jump-threading -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,4.658697843551636,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,4.6678147315979,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,4.669229984283447,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,4.674164533615112,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,4.675281047821045,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,4.692632436752319,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,4.72410249710083,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,4.738322973251343,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,5.429574012756348,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.0132743362831858,5.552142143249512,opt -mem2reg -instcombine -simplifycfg -newgvn -sroa -instcombine -elim-avail-extern -tailcallelim input.bc -o output.bc
benchmark://cbench-v1/blowfish,1.0305343511450382,8.000561714172363,opt -sroa -instcombine -newgvn -simplifycfg -instcombine -dse -simplifycfg -load-store-vectorizer -instcombine -newgvn input.bc -o output.bc
